"rt","stimulus","response","phase","prime","target","target_type","task","trial_type","trial_index","time_elapsed","internal_node_id","correct"
"1710","<p style=""font-size: 48px; font-family: monospace;"">LETTUCE</p>","w","test","SALAD","lettuce","associative","target","html-keyboard-response","14","19460","0.0-4.0-2.0",""
"2150","<p style=""font-size: 48px; font-family: monospace;"">GINE</p>","n","test","LODGE","gine","nonword","target","html-keyboard-response","17","22339","0.0-4.0-2.1",""
"1566","<p style=""font-size: 48px; font-family: monospace;"">DOLLARS</p>","w","test","BORDER","dollars","unrelated","target","html-keyboard-response","20","24626","0.0-4.0-2.2",""
"1455","<p style=""font-size: 48px; font-family: monospace;"">FLORM</p>","n","test","SUGGESTION","florm","nonword","target","html-keyboard-response","23","26808","0.0-4.0-2.3",""
"1094","<p style=""font-size: 48px; font-family: monospace;"">GUESS</p>","w","test","HYPOTHESIS","guess","semantic","target","html-keyboard-response","26","28626","0.0-4.0-2.4",""
"1316","<p style=""font-size: 48px; font-family: monospace;"">ABILITY</p>","w","test","FUEL","ability","unrelated","target","html-keyboard-response","29","30657","0.0-4.0-2.5",""
"1524","<p style=""font-size: 48px; font-family: monospace;"">PRILL</p>","n","test","TENDENCY","prill","nonword","target","html-keyboard-response","32","32901","0.0-4.0-2.6",""
"2162","<p style=""font-size: 48px; font-family: monospace;"">ONSTER</p>","n","test","BOOK","onster","nonword","target","html-keyboard-response","35","35779","0.0-4.0-2.7",""
"1020","<p style=""font-size: 48px; font-family: monospace;"">AGOM</p>","n","test","TREE","agom","nonword","target","html-keyboard-response","38","37526","0.0-4.0-2.8",""
"1480","<p style=""font-size: 48px; font-family: monospace;"">BEGINNER</p>","w","test","CONVENT","beginner","unrelated","target","html-keyboard-response","41","39726","0.0-4.0-2.9",""
"989","<p style=""font-size: 48px; font-family: monospace;"">SHONK</p>","n","test","GULP","shonk","nonword","target","html-keyboard-response","44","41439","0.0-4.0-2.10",""
"1509","<p style=""font-size: 48px; font-family: monospace;"">SNEEZE</p>","w","test","ALLERGY","sneeze","associative","target","html-keyboard-response","47","43677","0.0-4.0-2.11",""
"1435","<p style=""font-size: 48px; font-family: monospace;"">THOWER</p>","n","test","COUNTY","thower","nonword","target","html-keyboard-response","50","45844","0.0-4.0-2.12",""
"1914","<p style=""font-size: 48px; font-family: monospace;"">WOB</p>","w","test","ATTENTION","wob","nonword","target","html-keyboard-response","53","48480","0.0-4.0-2.13",""
"1553","<p style=""font-size: 48px; font-family: monospace;"">ALFEITY</p>","n","test","WASHCLOTH","alfeity","nonword","target","html-keyboard-response","56","50758","0.0-4.0-2.14",""
"1847","<p style=""font-size: 48px; font-family: monospace;"">SENTENCE</p>","w","test","PHRASE","sentence","semantic","target","html-keyboard-response","59","53323","0.0-4.0-2.15",""
"1337","<p style=""font-size: 48px; font-family: monospace;"">PINEASE</p>","n","test","REPUBLIC","pinease","nonword","target","html-keyboard-response","62","55378","0.0-4.0-2.16",""
"1894","<p style=""font-size: 48px; font-family: monospace;"">RESTAURANT</p>","w","test","HOSTESS","restaurant","associative","target","html-keyboard-response","65","57989","0.0-4.0-2.17",""
"1108","<p style=""font-size: 48px; font-family: monospace;"">WENNER</p>","n","test","CHART","wenner","nonword","target","html-keyboard-response","68","59818","0.0-4.0-2.18",""
"1349","<p style=""font-size: 48px; font-family: monospace;"">THAPE</p>","n","test","CAVERN","thape","nonword","target","html-keyboard-response","71","61884","0.0-4.0-2.19",""
"1158","<p style=""font-size: 48px; font-family: monospace;"">HEADACHE</p>","w","test","ASPIRIN","headache","associative","target","html-keyboard-response","74","63761","0.0-4.0-2.20",""
"1887","<p style=""font-size: 48px; font-family: monospace;"">MOIL</p>","n","test","THRESHOLD","moil","nonword","target","html-keyboard-response","77","66368","0.0-4.0-2.21",""
"1159","<p style=""font-size: 48px; font-family: monospace;"">LESPERS</p>","n","test","PHASE","lespers","nonword","target","html-keyboard-response","80","68248","0.0-4.0-2.22",""
"935","<p style=""font-size: 48px; font-family: monospace;"">PERSONALITY</p>","w","test","CHARACTER","personality","semantic","target","html-keyboard-response","83","69911","0.0-4.0-2.23",""
"924","<p style=""font-size: 48px; font-family: monospace;"">BAT</p>","w","test","BALL","bat","associative","target","html-keyboard-response","86","71550","0.0-4.0-2.24",""
"659","<p style=""font-size: 48px; font-family: monospace;"">AGE</p>","w","test","YEARS","age","semantic","target","html-keyboard-response","89","72947","0.0-4.0-2.25",""
"1109","<p style=""font-size: 48px; font-family: monospace;"">ROIN</p>","n","test","BEAVER","roin","nonword","target","html-keyboard-response","92","74770","0.0-4.0-2.26",""
"998","<p style=""font-size: 48px; font-family: monospace;"">TICKET</p>","w","test","ADMISSION","ticket","associative","target","html-keyboard-response","95","76492","0.0-4.0-2.27",""
"639","<p style=""font-size: 48px; font-family: monospace;"">HEAD</p>","w","test","HAT","head","associative","target","html-keyboard-response","98","77850","0.0-4.0-2.28",""
"884","<p style=""font-size: 48px; font-family: monospace;"">LOBSTER</p>","w","test","CRAB","lobster","semantic","target","html-keyboard-response","101","79445","0.0-4.0-2.29",""
"1307","<p style=""font-size: 48px; font-family: monospace;"">ARGEL</p>","n","test","HIKE","argel","nonword","target","html-keyboard-response","104","81472","0.0-4.0-2.30",""
"1103","<p style=""font-size: 48px; font-family: monospace;"">SKIN</p>","w","test","FAN","skin","unrelated","target","html-keyboard-response","107","83302","0.0-4.0-2.31",""
"1128","<p style=""font-size: 48px; font-family: monospace;"">TROES</p>","n","test","TAXI","troes","nonword","target","html-keyboard-response","110","85138","0.0-4.0-2.32",""
"2010","<p style=""font-size: 48px; font-family: monospace;"">FENT</p>","n","test","BREEZE","fent","nonword","target","html-keyboard-response","113","87856","0.0-4.0-2.33",""
"1083","<p style=""font-size: 48px; font-family: monospace;"">FRIGHT</p>","w","test","SCARE","fright","semantic","target","html-keyboard-response","116","89658","0.0-4.0-2.34",""
"1747","<p style=""font-size: 48px; font-family: monospace;"">FOAD</p>","n","test","KILLER","foad","nonword","target","html-keyboard-response","119","92136","0.0-4.0-2.35",""
"965","<p style=""font-size: 48px; font-family: monospace;"">NENK</p>","n","test","MASK","nenk","nonword","target","html-keyboard-response","122","93832","0.0-4.0-2.36",""
"984","<p style=""font-size: 48px; font-family: monospace;"">LEG</p>","w","test","CRUTCH","leg","associative","target","html-keyboard-response","125","95537","0.0-4.0-2.37",""
"1776","<p style=""font-size: 48px; font-family: monospace;"">SPINACH</p>","w","test","CARTON","spinach","unrelated","target","html-keyboard-response","128","98033","0.0-4.0-2.38",""
"1249","<p style=""font-size: 48px; font-family: monospace;"">RONEY</p>","n","test","TANGERINE","roney","nonword","target","html-keyboard-response","131","99993","0.0-4.0-2.39",""
"723","<p style=""font-size: 48px; font-family: monospace;"">ACTOR</p>","w","test","COAST","actor","unrelated","target","html-keyboard-response","134","101441","0.0-4.0-2.40",""
"1598","<p style=""font-size: 48px; font-family: monospace;"">SWORD</p>","w","test","SABER","sword","semantic","target","html-keyboard-response","137","103751","0.0-4.0-2.41",""
"822","<p style=""font-size: 48px; font-family: monospace;"">ROSE</p>","w","test","IDOL","rose","unrelated","target","html-keyboard-response","140","105290","0.0-4.0-2.42",""
"1110","<p style=""font-size: 48px; font-family: monospace;"">VIGHT</p>","n","test","DOORBELL","vight","nonword","target","html-keyboard-response","143","107117","0.0-4.0-2.43",""
"1069","<p style=""font-size: 48px; font-family: monospace;"">HULGER</p>","n","test","MOVIE","hulger","nonword","target","html-keyboard-response","146","108923","0.0-4.0-2.44",""
"2618","<p style=""font-size: 48px; font-family: monospace;"">REAT</p>","n","test","CHIP","reat","nonword","target","html-keyboard-response","149","112275","0.0-4.0-2.45",""
"1707","<p style=""font-size: 48px; font-family: monospace;"">HURCESS</p>","n","test","HOOP","hurcess","nonword","target","html-keyboard-response","152","114695","0.0-4.0-2.46",""
"1984","<p style=""font-size: 48px; font-family: monospace;"">POVICE</p>","n","test","DOLL","povice","nonword","target","html-keyboard-response","155","117411","0.0-4.0-2.47",""
"1364","<p style=""font-size: 48px; font-family: monospace;"">CLECK</p>","n","test","MYTH","cleck","nonword","target","html-keyboard-response","158","119490","0.0-4.0-2.48",""
"984","<p style=""font-size: 48px; font-family: monospace;"">MATERIAL</p>","w","test","FAME","material","unrelated","target","html-keyboard-response","161","121200","0.0-4.0-2.49",""
"1102","<p style=""font-size: 48px; font-family: monospace;"">ZOFE</p>","n","test","COMMENT","zofe","nonword","target","html-keyboard-response","164","123017","0.0-4.0-2.50",""
"1485","<p style=""font-size: 48px; font-family: monospace;"">CATS</p>","w","test","LITTER","cats","associative","target","html-keyboard-response","167","125232","0.0-4.0-2.51",""
"869","<p style=""font-size: 48px; font-family: monospace;"">GELF</p>","n","test","STAPLER","gelf","nonword","target","html-keyboard-response","170","126816","0.0-4.0-2.52",""
"1783","<p style=""font-size: 48px; font-family: monospace;"">CURLAINS</p>","n","test","ASH","curlains","nonword","target","html-keyboard-response","173","129320","0.0-4.0-2.53",""
"706","<p style=""font-size: 48px; font-family: monospace;"">FISH</p>","w","test","COD","fish","semantic","target","html-keyboard-response","176","130746","0.0-4.0-2.54",""
"1157","<p style=""font-size: 48px; font-family: monospace;"">SLODY</p>","n","test","WHISKEY","slody","nonword","target","html-keyboard-response","179","132622","0.0-4.0-2.55",""
"997","<p style=""font-size: 48px; font-family: monospace;"">SHELL</p>","w","test","SEASHORE","shell","associative","target","html-keyboard-response","182","134330","0.0-4.0-2.56",""
"1137","<p style=""font-size: 48px; font-family: monospace;"">FROPS</p>","n","test","MOONLIGHT","frops","nonword","target","html-keyboard-response","185","136188","0.0-4.0-2.57",""
"739","<p style=""font-size: 48px; font-family: monospace;"">AREA</p>","w","test","REGION","area","semantic","target","html-keyboard-response","188","137648","0.0-4.0-2.58",""
"2976","<p style=""font-size: 48px; font-family: monospace;"">SELEPHORE</p>","n","test","INERTIA","selephore","nonword","target","html-keyboard-response","191","141359","0.0-4.0-2.59",""
